lead_id,date,ad_id,campaign_id,platform,call_booked,call_completed,sale_won,sale_value,rep_id,country
L000001,2026-04-17,C001-AD01,C001,Facebook,0,0,0,0.0,,USA
L000002,2026-04-17,C001-AD01,C001,Facebook,0,0,0,0.0,,USA
L000003,2026-04-17,C001-AD01,C001,Facebook,1,1,0,0.0,R03,Singapore
L000004,2026-04-17,C001-AD01,C001,Facebook,0,0,0,0.0,,Singapore
L000005,2026-04-17,C001-AD01,C001,Facebook,0,0,0,0.0,,USA
L000006,2026-04-17,C001-AD01,C001,Facebook,0,0,0,0.0,,Singapore
L000007,2026-04-17,C001-AD02,C001,Facebook,0,0,0,0.0,,Singapore
L000008,2026-04-17,C001-AD02,C001,Facebook,0,0,0,0.0,,Singapore
L000009,2026-04-17,C001-AD02,C001,Facebook,0,0,0,0.0,,Singapore
L000010,2026-04-17,C001-AD02,C001,Facebook,1,1,0,0.0,R03,UAE
L000011,2026-04-17,C001-AD02,C001,Facebook,1,0,0,0.0,R01,India
L000012,2026-04-17,C001-AD02,C001,Facebook,0,0,0,0.0,,India
L000013,2026-04-17,C001-AD02,C001,Facebook,0,0,0,0.0,,Singapore
L000014,2026-04-17,C001-AD02,C001,Facebook,0,0,0,0.0,,UAE
L000015,2026-04-17,C001-AD02,C001,Facebook,1,0,0,0.0,R02,USA
L000016,2026-04-17,C001-AD02,C001,Facebook,1,1,0,0.0,R02,USA
L000017,2026-04-17,C001-AD02,C001,Facebook,1,1,0,0.0,R04,India
L000018,2026-04-17,C001-AD02,C001,Facebook,1,1,1,53774.51,R02,India
L000019,2026-04-17,C001-AD02,C001,Facebook,1,1,0,0.0,R01,USA
L000020,2026-04-17,C001-AD03,C001,Facebook,1,1,1,80486.0,R04,UAE
L000021,2026-04-17,C001-AD03,C001,Facebook,0,0,0,0.0,,UK
L000022,2026-04-17,C001-AD03,C001,Facebook,1,1,0,0.0,R04,UK
L000023,2026-04-17,C001-AD03,C001,Facebook,1,0,0,0.0,R01,India
L000024,2026-04-17,C001-AD03,C001,Facebook,1,1,0,0.0,R02,UAE
L000025,2026-04-17,C001-AD03,C001,Facebook,1,1,0,0.0,R03,UK
L000026,2026-04-17,C001-AD03,C001,Facebook,1,0,0,0.0,R04,Singapore
L000027,2026-04-17,C001-AD03,C001,Facebook,1,1,0,0.0,R01,India
L000028,2026-04-17,C001-AD03,C001,Facebook,0,0,0,0.0,,UAE
L000029,2026-04-17,C001-AD03,C001,Facebook,1,1,0,0.0,R04,India
L000030,2026-04-17,C001-AD03,C001,Facebook,1,1,0,0.0,R04,USA
L000031,2026-04-17,C001-AD03,C001,Facebook,1,0,0,0.0,R04,UAE
L000032,2026-04-17,C001-AD03,C001,Facebook,1,1,1,66501.6,R01,USA
L000033,2026-04-17,C001-AD03,C001,Facebook,1,1,0,0.0,R02,India
L000034,2026-04-17,C001-AD03,C001,Facebook,0,0,0,0.0,,India
L000035,2026-04-17,C001-AD03,C001,Facebook,0,0,0,0.0,,India
L000036,2026-04-17,C001-AD03,C001,Facebook,1,1,0,0.0,R01,Singapore
L000037,2026-04-17,C001-AD03,C001,Facebook,1,1,0,0.0,R04,Singapore
L000038,2026-04-17,C001-AD03,C001,Facebook,1,1,0,0.0,R03,UAE
L000039,2026-04-17,C001-AD03,C001,Facebook,1,1,0,0.0,R04,USA
L000040,2026-04-17,C001-AD03,C001,Facebook,0,0,0,0.0,,India
L000041,2026-04-17,C001-AD03,C001,Facebook,1,1,0,0.0,R01,India
L000042,2026-04-17,C001-AD03,C001,Facebook,1,1,1,39430.62,R01,UAE
L000043,2026-04-17,C001-AD03,C001,Facebook,1,1,0,0.0,R03,Singapore
L000044,2026-04-17,C001-AD03,C001,Facebook,0,0,0,0.0,,Singapore
L000045,2026-04-17,C001-AD03,C001,Facebook,1,0,0,0.0,R03,India
L000046,2026-04-17,C001-AD04,C001,Facebook,1,1,0,0.0,R03,USA
L000047,2026-04-17,C001-AD04,C001,Facebook,1,1,0,0.0,R03,Singapore
L000048,2026-04-17,C001-AD04,C001,Facebook,1,0,0,0.0,R01,India
L000049,2026-04-17,C001-AD04,C001,Facebook,1,0,0,0.0,R01,India
L000050,2026-04-17,C001-AD04,C001,Facebook,1,1,0,0.0,R02,UK
L000051,2026-04-17,C001-AD04,C001,Facebook,1,1,1,20267.07,R02,Singapore
L000052,2026-04-17,C001-AD04,C001,Facebook,1,1,0,0.0,R04,UAE
L000053,2026-04-17,C001-AD04,C001,Facebook,1,1,0,0.0,R01,USA
L000054,2026-04-17,C002-AD01,C002,Facebook,1,0,0,0.0,R04,Singapore
L000055,2026-04-17,C002-AD01,C002,Facebook,0,0,0,0.0,,UAE
L000056,2026-04-17,C002-AD01,C002,Facebook,0,0,0,0.0,,UAE
L000057,2026-04-17,C002-AD01,C002,Facebook,0,0,0,0.0,,India
L000058,2026-04-17,C002-AD01,C002,Facebook,1,0,0,0.0,R04,UAE
L000059,2026-04-17,C002-AD01,C002,Facebook,1,0,0,0.0,R01,UK
L000060,2026-04-17,C002-AD01,C002,Facebook,0,0,0,0.0,,UK
